us_group,nigeria_reference,reference_quantile,reference_burden_pct,us_parity_percentile,us_share_above_pct,n
All US families,All Nigerian households,0.5,1.8821704332980846,63.18229359298029,36.817706407019706,61447
All US families,All Nigerian households,0.75,6.714572083554287,88.06375433714285,11.93624566285715,61447
All US families,All Nigerian households,0.9,16.310605528879204,96.11109927295388,3.8889007270461207,61447
All US families,Nigerian informal households,0.5,1.8701005056119355,63.040773115902105,36.9592268840979,61447
All US families,Nigerian informal households,0.75,6.87773651109207,88.35733523837035,11.642664761629646,61447
All US families,Nigerian informal households,0.9,16.621607430041546,96.23727040306326,3.7627295969367536,61447
Insured all year,All Nigerian households,0.5,1.8821704332980846,62.11611123415145,37.88388876584855,55173
Insured all year,All Nigerian households,0.75,6.714572083554287,87.86957266417966,12.130427335820333,55173
Insured all year,All Nigerian households,0.9,16.310605528879204,96.1418252810879,3.8581747189120943,55173
Insured all year,Nigerian informal households,0.5,1.8701005056119355,61.97641532131336,38.023584678686625,55173
Insured all year,Nigerian informal households,0.75,6.87773651109207,88.17561273916296,11.824387260837042,55173
Insured all year,Nigerian informal households,0.9,16.621607430041546,96.26439413562213,3.7356058643778542,55173
Partly uninsured,All Nigerian households,0.5,1.8821704332980846,71.60719936870585,28.392800631294158,4282
Partly uninsured,All Nigerian households,0.75,6.714572083554287,90.03705994239411,9.962940057605879,4282
Partly uninsured,All Nigerian households,0.9,16.310605528879204,96.04157625022337,3.9584237497766415,4282
Partly uninsured,Nigerian informal households,0.5,1.8701005056119355,71.39457559443217,28.605424405567824,4282
Partly uninsured,Nigerian informal households,0.75,6.87773651109207,90.15639401040426,9.843605989595732,4282
Partly uninsured,Nigerian informal households,0.9,16.621607430041546,96.22355190222132,3.7764480977787014,4282
Uninsured all year,All Nigerian households,0.5,1.8821704332980846,75.01707263035185,24.982927369648145,1992
Uninsured all year,All Nigerian households,0.75,6.714572083554287,89.3414863502365,10.65851364976351,1992
Uninsured all year,All Nigerian households,0.9,16.310605528879204,95.42352212384024,4.576477876159753,1992
Uninsured all year,Nigerian informal households,0.5,1.8701005056119355,74.96866084932478,25.031339150675226,1992
Uninsured all year,Nigerian informal households,0.75,6.87773651109207,89.6483459822363,10.351654017763709,1992
Uninsured all year,Nigerian informal households,0.9,16.621607430041546,95.53500462152162,4.4649953784783865,1992
Poor or near poor,All Nigerian households,0.5,1.8821704332980846,58.82825774761062,41.17174225238937,11735
Poor or near poor,All Nigerian households,0.75,6.714572083554287,78.43099168998138,21.569008310018624,11735
Poor or near poor,All Nigerian households,0.9,16.310605528879204,88.64361980753726,11.356380192462726,11735
Poor or near poor,Nigerian informal households,0.5,1.8701005056119355,58.75432764629069,41.24567235370931,11735
Poor or near poor,Nigerian informal households,0.75,6.87773651109207,78.63628744213491,21.36371255786509,11735
Poor or near poor,Nigerian informal households,0.9,16.621607430041546,88.91149174020386,11.088508259796148,11735
Chronic condition,All Nigerian households,0.5,1.8821704332980846,58.612872101344095,41.387127898655905,48595
Chronic condition,All Nigerian households,0.75,6.714572083554287,86.3670649590885,13.632935040911512,48595
Chronic condition,All Nigerian households,0.9,16.310605528879204,95.50457975391973,4.495420246080271,48595
Chronic condition,Nigerian informal households,0.5,1.8701005056119355,58.472498955506246,41.527501044493754,48595
Chronic condition,Nigerian informal households,0.75,6.87773651109207,86.71970925461949,13.280290745380519,48595
Chronic condition,Nigerian informal households,0.9,16.621607430041546,95.64967402003683,4.350325979963168,48595
Elderly member,All Nigerian households,0.5,1.8821704332980846,49.68112053183949,50.31887946816052,22606
Elderly member,All Nigerian households,0.75,6.714572083554287,81.36402211837118,18.63597788162883,22606
Elderly member,All Nigerian households,0.9,16.310605528879204,93.55736847417592,6.442631525824082,22606
Elderly member,Nigerian informal households,0.5,1.8701005056119355,49.551452008257186,50.44854799174282,22606
Elderly member,Nigerian informal households,0.75,6.87773651109207,81.77458499673887,18.22541500326115,22606
Elderly member,Nigerian informal households,0.9,16.621607430041546,93.73705678064461,6.262943219355415,22606
